"t","Cov","SqDiff","Var","Nobs"
44.54,-8.294138956508787e-7,2.7986515412811746e-6,2.798931434424617e-10,10000
44.55,-8.32146026191693e-7,2.7988248354926778e-6,2.7991047459672744e-10,10000
44.56,-8.343460505613457e-7,2.7985920554021093e-6,2.7988719425963687e-10,10000
44.57,-8.354717663315622e-7,2.7983760827259267e-6,2.798655948320759e-10,10000
44.58,-8.364525971923738e-7,2.7982368710907746e-6,2.798516722763051e-10,10000
44.59,-8.382499829435461e-7,2.7982782088050295e-6,2.798558064611491e-10,10000
44.6,-8.407713758640523e-7,2.798524096204838e-6,2.7988039766024984e-10,10000
44.61,-8.432435000442032e-7,2.7987978717916084e-6,2.7990777795695654e-10,10000
44.62,-8.456376611995423e-7,2.7990717001118277e-6,2.799351635275355e-10,10000
44.63,-8.480229225688165e-7,2.799792697543051e-6,2.8000727048135324e-10,10000
44.64,-8.506262873432672e-7,2.8001330451517807e-6,2.800413086460427e-10,10000
44.65,-8.534750130262697e-7,2.8004119993928267e-6,2.8006920685996867e-10,10000
44.66,-8.565802297219288e-7,2.800831365834845e-6,2.8011114769825433e-10,10000
44.67,-8.60391099319848e-7,2.8011355266258604e-6,2.8014156681926797e-10,10000
44.68,-8.631085121057486e-7,2.8013290950681505e-6,2.80160925599375e-10,10000
44.69,-8.656751980314496e-7,2.8014797882937834e-6,2.8017599642902125e-10,10000
44.7,-8.685002071436479e-7,2.8017724460333174e-6,2.802052651298447e-10,10000
44.71,-8.711305568326672e-7,2.801759651784972e-6,2.802039855770549e-10,10000
44.72,-8.732614986837104e-7,2.80190573650344e-6,2.8021859550989495e-10,10000
44.73,-8.757349071816991e-7,2.802064471752977e-6,2.802344706223599e-10,10000
44.74,-8.782222627971497e-7,2.802066386265472e-6,2.802346620927565e-10,10000
44.75,-8.794592930435226e-7,2.8020190358943174e-6,2.8022992658208994e-10,10000
44.76,-8.810328646442687e-7,2.8021251084930493e-6,2.8024053490279523e-10,10000
44.77,-8.825002538310998e-7,2.8022877241409223e-6,2.8025679809390164e-10,10000
44.78,-8.840202972612134e-7,2.8022530366189203e-6,2.802533289947915e-10,10000
44.79,-8.857269733388554e-7,2.802610512396777e-6,2.802890801476925e-10,10000
44.8,-8.87013809011615e-7,2.8029093940648055e-6,2.8031897130361093e-10,10000
44.81,-8.883388400696612e-7,2.8031151845084276e-6,2.8033955240608337e-10,10000
44.82,-8.889847178156389e-7,2.8031965996553343e-6,2.8034769473500694e-10,10000
44.83,-8.900535820294622e-7,2.803404023497952e-6,2.8036843919371455e-10,10000
44.84,-8.920438694449621e-7,2.803636621638104e-6,2.803917013339438e-10,10000
44.85,-8.939997909065566e-7,2.8042012697078e-6,2.8044817178795877e-10,10000
44.86,-8.957670476777189e-7,2.804534145344582e-6,2.804814626807263e-10,10000
44.87,-8.979548757748128e-7,2.8047364642489677e-6,2.8050169659455624e-10,10000
44.88,-8.995813245095519e-7,2.8048139582711478e-6,2.80509446771792e-10,10000
44.89,-9.01006550506858e-7,2.8049578987396785e-6,2.805238422581937e-10,10000
44.9,-9.022892238548848e-7,2.8049823580625707e-6,2.8052628843510056e-10,10000
44.91,-9.039993784129727e-7,2.8049457973402676e-6,2.8052263199722646e-10,10000
44.92,-9.065606721465851e-7,2.804982840072218e-6,2.8052633664088586e-10,10000
44.93,-9.091495033732799e-7,2.8050605826177945e-6,2.8053411167294675e-10,10000
44.94,-9.109694416123807e-7,2.805208769008424e-6,2.805489317940218e-10,10000
44.95,-9.128684123047828e-7,2.805482309212231e-6,2.805762885500781e-10,10000
